"","Name...1","cest33 neg endo ms2 1","cest33 neg endo ms2 2","cest33 neg exo ms2 1","cest33 neg exo ms2 2","neg glo1 endo ms2 top5","neg glo1 exo ms2 top5","neg n2 endo ms2 top5","neg n2 exo ms2 top5","Group","Size","Name...12","Mass","m/z","RT","Adduct","Name...17","name","formula","adduct","evidence","MSI Level","Comment","ChEBI ID","SIRIUS_molecularFormula","SIRIUS_adduct"
"1","Cluster_0001",NA,NA,NA,NA,1554003.875,25074400,1549845.25,27715440,"143",2,"Cluster_0001",88.0513742730589,87.0440982730589,2.72183738423072,"M-H","Cluster_0001",NA,NA,NA,NA,NA,NA,NA,"C4H8O2|H4N6|C2H6N3O","[M - H]-|[M - H]-|[M - H]-"
"2","Cluster_0002",NA,NA,NA,NA,11656350,NA,10297541,NA,"144",2,"Cluster_0002",89.0470440856423,88.0397680856423,4.27558055263884,"M-H","Cluster_0002",NA,NA,NA,NA,NA,NA,NA,"C3H7NO2|CH5N4O","[M - H]-|[M - H]-"
"3","Cluster_0003",NA,NA,NA,NA,1411188.875,21384798,1035271.9375,18020394,"146",2,"Cluster_0003",94.0410991569737,93.0338231569737,4.98716323567135,"M-H","Cluster_0003",NA,NA,NA,NA,NA,NA,NA,"C6H6O|C2H9NOP|C4H4N3|H7N4P","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"4","Cluster_0004",832288,682439.1875,908858,256214.6875,NA,NA,102969.1953125,NA,"175",2,"Cluster_0004",101.940833538465,100.933557538465,18.6959918484638,"M-H","Cluster_0004",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"5","Cluster_0005",1467415.25,1035661.1875,212087.546875,939168.375,NA,NA,169013.75,22721.6484375,"5",2,"Cluster_0005",101.941364392883,100.934088392883,18.9845860506687,"M-H","Cluster_0005",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"6","Cluster_0006",1038586.1875,1022317.75,639019.8125,658428.1875,NA,NA,292718.15625,63083.25,"184",3,"Cluster_0006",101.943580609017,100.936304609017,19.2354705877002,"M-H","Cluster_0006",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"7","Cluster_0007",919536.1875,1280910.875,1230361.5,741787.1875,NA,NA,338986.0625,147894.703125,"180",2,"Cluster_0007",101.941688096769,100.934412096769,19.6387619856696,"M-H","Cluster_0007",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"8","Cluster_0008",135875.625,NA,712518.625,NA,NA,NA,NA,168858.84375,"6",2,"Cluster_0008",101.943460470413,100.936184470413,19.8947286871961,"M-H","Cluster_0008",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"9","Cluster_0009",2494692.75,2110871.75,812141.3125,927746.375,122700.53125,29119.625,447786.34375,125267.0625,"181",2,"Cluster_0009",101.94175177347,100.93447577347,20.1864277581092,"M-H","Cluster_0009",NA,NA,NA,NA,NA,NA,NA,"C2OP2","[M - H]-"
"10","Cluster_0010",392721.3125,1313614.5,1087930.75,802774.1875,2316841.25,1043015,4963810.5,1952675.75,"162",3,"Cluster_0010",101.939322430978,100.932046430978,20.4441242141751,"M-H","Cluster_0010",NA,NA,NA,NA,NA,NA,NA,"",""
"11","Cluster_0011",NA,1427377.625,297400.96875,1874653.625,NA,NA,407036.25,126142.0703125,"172",3,"Cluster_0011",101.939749950329,100.932473950329,20.9691540009557,"M-H","Cluster_0011",NA,NA,NA,NA,NA,NA,NA,"",""
