Name;name;formula;adduct;evidence;m/z;RT
Cluster_0001;;;;;87.04409827;2.721837384
Cluster_0002;;;;;88.03976809;4.275580553
Cluster_0003;;;;;93.03382316;4.987163236
Cluster_0004;;;;;100.9335575;18.69599185
Cluster_0005;;;;;100.9340884;18.98458605
Cluster_0006;;;;;100.9363046;19.23547059
Cluster_0007;;;;;100.9344121;19.63876199
Cluster_0008;;;;;100.9361845;19.89472869
Cluster_0009;;;;;100.9344758;20.18642776
Cluster_0010;;;;;100.9320464;20.44412421
Cluster_0011;;;;;100.932474;20.969154
Cluster_0012;;;;;100.9337125;21.20122635
Cluster_0013;;;;;100.932191;21.54202614
Cluster_0014;;;;;100.932282;21.74928178
Cluster_0015;;;;;100.9324045;21.83814084
Cluster_0016;;;;;100.9324182;22.0658494
Cluster_0017;;;;;100.9321197;22.20303684
Cluster_0018;;;;;100.9321714;22.247
Cluster_0019;;;;;100.9323984;22.42572374
Cluster_0020;;;;;100.9339959;22.49861466
Cluster_0021;;;;;100.9322385;22.59252666
Cluster_0022;;;;;100.93222;22.71196397
Cluster_0023;;;;;100.9324757;22.93315688
Cluster_0024;;;;;100.9338752;23.0482766
Cluster_0025;;;;;100.9324435;23.3253606
Cluster_0026;;;;;100.9339478;23.52134143
Cluster_0027;;;;;100.9362;23.62067567
Cluster_0028;;;;;100.9359349;24.27653887
Cluster_0029;;;;;100.9300737;16.23180449
Cluster_0030;;;;;100.9337695;16.94894121
Cluster_0031;;;;;100.9321894;17.91501797
Cluster_0032;;;;;100.9335114;18.36080677
Cluster_0033;;;;;106.00428;19.25559193
Cluster_0034;;;;;106.0055012;21.8193929
Cluster_0035;;;;;108.0200682;18.6188645
Cluster_0036;;;;;108.0204843;18.70602833
Cluster_0037;;;;;108.0215133;18.72337553
Cluster_0038;;;;;108.0456086;5.096404739
Cluster_0039;;;;;110.0242062;4.706960342
Cluster_0040;;;;;110.9760027;0.729306792
Cluster_0041;;;;;111.0201579;1.025153787
Cluster_0042;;;;;111.0201579;1.025153787
Cluster_0043;;;;;112.9858571;0.892363937
Cluster_0044;;;;;112.9859527;1.620057814
Cluster_0045;;;;;112.9858829;1.987758612
Cluster_0046;;;;;112.9859274;2.289432739
Cluster_0047;;;;;112.9855892;2.974050109
Cluster_0048;;;;;112.9859064;7.739980902
Cluster_0049;;;;;112.9857922;8.650486674
Cluster_0050;;;;;112.9857845;8.785476129
Cluster_0051;;;;;112.9858393;8.965229422
Cluster_0052;;;;;112.9858928;10.87866149
Cluster_0053;;;;;112.9858631;11.15324855
Cluster_0054;;;;;112.9855892;2.974050109
Cluster_0055;;;;;112.9858829;3.716916542
Cluster_0056;;;;;112.9860617;6.782494228
Cluster_0057;;;;;112.9857467;12.65518702
Cluster_0058;;;;;112.9857567;13.46435188
Cluster_0059;;;;;112.9862335;13.75483953
Cluster_0060;;;;;112.9860538;16.09899188
Cluster_0061;;;;;112.9859455;16.6230138
Cluster_0062;;;;;112.9859182;16.68013736
Cluster_0063;;;;;112.9864504;16.99625419
Cluster_0064;;;;;112.9857894;18.12401707
Cluster_0065;;;;;112.9860111;18.94772215
Cluster_0066;;;;;112.990402;19.16689147
Cluster_0067;;;;;112.9896497;20.14459473
Cluster_0068;;;;;115.0398764;2.652727114
Cluster_0069;;;;;115.9202766;22.42547188
Cluster_0070;;;;;116.0501238;6.366638765
Cluster_0071;;;;;116.0502309;8.974811657
Cluster_0072;;;;;116.0501328;7.596103183
Cluster_0073;;;;;116.0500514;6.528111089
Cluster_0074;;;;;116.9275586;23.5163225
Cluster_0075;;;;;116.9278094;13.90669968
Cluster_0076;;;;;116.9280889;14.8177351
Cluster_0077;;;;;116.928212;14.94583806
Cluster_0078;;;;;116.9279465;15.28452927
Cluster_0079;;;;;116.9279736;15.46469803
Cluster_0080;;;;;116.9282049;15.54515693
Cluster_0081;;;;;116.9278923;15.75241232
Cluster_0082;;;;;116.9277585;16.02961099
Cluster_0083;;;;;116.9278751;16.13640133
Cluster_0084;;;;;116.9279568;16.41730587
Cluster_0085;;;;;116.9278877;16.61858407
Cluster_0086;;;;;116.9278931;17.05431625
Cluster_0087;;;;;116.9280703;18.43646747
Cluster_0088;;;;;116.9283244;20.1385981
Cluster_0089;;;;;116.9278512;13.03529463
Cluster_0090;;;;;116.9283695;0.802671535
Cluster_0091;;;;;116.9283589;2.473308963
Cluster_0092;;;;;116.9281924;2.579499073
Cluster_0093;;;;;117.0557052;2.785994343
Cluster_0094;;;;;117.0557026;3.217724291
Cluster_0095;;;;;117.0559411;3.419954956
Cluster_0096;;;;;116.9282173;2.268740532
Cluster_0097;;;;;116.9283589;2.473308963
Cluster_0098;;;;;116.9281924;2.579499073
Cluster_0099;;;;;117.0341934;6.865396589
Cluster_0100;;;;;116.9281448;2.123995275
Cluster_0101;;;;;117.0196992;1.428667203
Cluster_0102;;;;;118.0057934;24.08978543
Cluster_0103;;;;;118.005744;24.67943952
Cluster_0104;;;;;118.9241913;14.41774254
Cluster_0105;;;;;118.9242256;14.71553726
Cluster_0106;;;;;118.923946;1.786007325
Cluster_0107;;;;;118.9241072;19.39302754
Cluster_0108;;;;;118.9239307;16.76710063
Cluster_0109;;;;;118.923946;1.786007325
Cluster_0110;;;;;119.0355157;1.026492327
Cluster_0111;;;;;119.0501489;9.319279857
Cluster_0112;;;;;119.0499598;6.866879686
Cluster_0113;;;;;119.0499203;4.755323981
Cluster_0114;;;;;120.0457858;9.487855964
Cluster_0115;;;;;121.0297008;8.16243577
Cluster_0116;;;;;121.0298006;8.494238181
Cluster_0117;;;;;121.0296583;5.620512504
Cluster_0118;;;;;121.0296002;5.878301921
Cluster_0119;;;;;121.0297805;10.04483961
Cluster_0120;;;;;121.0403907;7.01291275
Cluster_0121;;;;;121.0401709;4.332195497
Cluster_0122;;;;;122.0244235;1.02784957
Cluster_0123;;;;;122.0018825;18.98156728
Cluster_0124;;;;;121.9996392;19.89206013
Cluster_0125;;;;;121.9983926;20.1803284
Cluster_0126;;;;;122.0024044;21.80489011
Cluster_0127;;;;;121.9995815;22.8426965
Cluster_0128;;;;;122.0003746;23.3585609
Cluster_0129;;;;;122.0004145;24.46371191
Cluster_0130;;;;;121.9997046;18.70556507
Cluster_0131;;;;;122.0121257;16.41675036
Cluster_0132;;;;;122.0018825;18.98156728
Cluster_0133;;;;;121.9998409;19.17155264
Cluster_0134;;;;;122.0261669;2.565423941
Cluster_0135;;;;;122.0258058;2.982770811
Cluster_0136;;;;;122.0256453;6.620658692
Cluster_0137;;;;;122.8941201;0.810992766
Cluster_0138;;;;;123.0135216;22.61255195
Cluster_0139;;;;;124.9998242;21.60852552
Cluster_0140;;;;;125.0359138;1.972140201
Cluster_0141;;;;;126.0919761;6.533975617
Cluster_0142;;;;;128.0357238;1.18926
Cluster_0143;;;;;128.1081403;9.622558446
Cluster_0144;;;;;129.0195073;3.638230189
Cluster_0145;;;;;129.0197728;3.98718162
Cluster_0146;;;;;128.9759817;2.48750529
Cluster_0147;;;;;129.9755058;7.915812837
Cluster_0148;;;;;130.0864696;6.613456512
Cluster_0149;;;;;130.0515473;1.583751349
Cluster_0150;;;;;130.0661594;4.738127569
Cluster_0151;;;;;130.0660718;4.960728398
Cluster_0152;;;;;130.0877773;8.250081527
Cluster_0153;;;;;130.0877564;8.386731196
