Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_0839,219.0877908,4.004610502,ascr#5,C9H16O6,M-H,ms2,Yes,no,ascr#7--54.046,NA,Cluster_1254,1_layer_gnps,simil:0.8877; mzdiff:NA; homol mz:NA; homol RT:NA,NA,54.0459439,1
Cluster_0840,219.087515,3.561709979,,,,,Yes,no,ascr#5-0,NA,Cluster_0839,1_layer_gnps,simil:0.8821; mzdiff:NA; homol mz:NA; homol RT:NA,NA,2.7579999999716165e-4,1
Cluster_0943,233.1035758,7.226221404,,,,,No,yes,ascr#5+CH2,C10H18O6,Cluster_0839,1_layer_mass,simil:NA; mzdiff:Methylation (+CH2); homol mz:NA; homol RT:NA,NA,-14.015784999999994,1
Cluster_0944,233.1022044,4.470216667,ascr#11,C10H18O6,M-H,MS2,Yes,yes,ascr#5+CH2,C10H18O6,Cluster_0839,1_layer_mass,simil:NA; mzdiff:Methylation (+CH2); homol mz:NA; homol RT:NA,NA,-14.014413600000012,1
Cluster_0945,233.1021924,4.488741264,,,,,No,yes,ascr#5+CH2,C10H18O6,Cluster_0839,1_layer_mass,simil:NA; mzdiff:Methylation (+CH2); homol mz:NA; homol RT:NA,NA,-14.014401600000014,1
Cluster_1042,247.1184831,7.915890023,,,,,Yes,yes,ascr#5+C2H4,C11H20O6,Cluster_0839,2_layers_gnps_mass,simil:0.9699; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.0306923,2
Cluster_1043,247.119587,8.02092717,,,,,Yes,no,ascr#5+C2H4,C11H20O6,Cluster_0839,2_layers_gnps_mass,simil:0.9361; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.031796200000002,2
Cluster_1044,247.118047,5.193843429,,,,,Yes,yes,ascr#11+CH2,C11H20O6,Cluster_0944,2_layers_mass_homol,simil:NA; mzdiff:Methylation (+CH2); homol mz:14.0158329; homol RT:47.8031,NA,-14.015842599999985,2
Cluster_1072,249.0976975,4.197701192,,,,,Yes,no,ascr#11+O,C10H18O7,Cluster_0944,1_layer_mass,simil:NA; mzdiff:Hydroxylation (+O); homol mz:NA; homol RT:NA,NA,-15.995493100000004,1
Cluster_1146,259.1180135,8.01328724,,,,,No,no,ascr#11+C2H2,C12H20O6,Cluster_0944,1_layer_mass,simil:NA; mzdiff:C2H2; homol mz:NA; homol RT:NA,NA,-26.015809100000013,1
Cluster_1149,259.128273,5.972881033,,,,,Yes,no,ascr#5+-42.046,NA,Cluster_0839,1_layer_gnps,simil:0.9028; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-40.040482199999985,3
Cluster_1159,261.1343012,8.571217575,,,,,Yes,yes,ascr#5+C3H6,C12H22O6,Cluster_0839,2_layers_gnps_mass,simil:0.9148; mzdiff:C3H6; homol mz:NA; homol RT:NA,NA,-42.04651039999999,2
Cluster_1161,261.1337301,6.005722777,,,,,No,yes,ascr#5+C3H6,C12H22O6,Cluster_0839,1_layer_mass,simil:NA; mzdiff:C3H6; homol mz:NA; homol RT:NA,NA,-42.045939299999986,2
Cluster_1164,263.1123916,3.964913458,,,,,Yes,no,ascr#5+C2H4O,C11H20O7,Cluster_0839,1_layer_mass,simil:NA; mzdiff:C2H4O; homol mz:NA; homol RT:NA,NA,-44.02460080000003,1
Cluster_1167,263.1123916,3.964913458,,,,,No,no,ascr#5+C2H4O,C11H20O7,Cluster_0839,1_layer_mass,simil:NA; mzdiff:C2H4O; homol mz:NA; homol RT:NA,NA,-44.02460080000003,1
