Row,Annotation.ID,formula,adduct,evidence,m.z,RT,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_1101,,,,,253.1036194,12.81270752,Yes,no,iglu#8--187.008,NA,Cluster_2523,1_layer_gnps,simil:0.9422; mzdiff:NA; homol mz:NA; homol RT:NA,NA,187.0082461,1
Cluster_1277,iglu#1,C14H17NO5,[M-H]-,MS2 match,278.102203,6.529115704,Yes,no,iglu#1--0.001,NA,Cluster_1278,1_layer_gnps,simil:0.9672; mzdiff:NA; homol mz:NA; homol RT:NA,NA,0.001466500000049109,1
Cluster_1278,iglu#1,C14H17NO5,[M-H]-,MS2 match,278.1036695,8.97519811,Yes,no,iglu#1+-0.001,NA,Cluster_1277,1_layer_gnps,simil:0.9672; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-0.001466500000049109,1
Cluster_1423,,,,,294.0983271,7.781997004,Yes,no,iglu#1+O,C14H17NO6,Cluster_1277,1_layer_mass,simil:NA; mzdiff:Hydroxylation (+O); homol mz:NA; homol RT:NA,NA,-15.996124100000031,2
Cluster_1424,,,,,294.0977804,5.038521006,Yes,no,iglu#1+O,C14H17NO6,Cluster_1277,1_layer_mass,simil:NA; mzdiff:Hydroxylation (+O); homol mz:NA; homol RT:NA,NA,-15.995577400000002,2
Cluster_1530,,,,,306.0983726,8.646851169,Yes,no,iglu#1+CO,C15H17NO6,Cluster_1277,1_layer_mass,simil:NA; mzdiff:Formylation (+CO); homol mz:NA; homol RT:NA,NA,-27.99616960000003,2
Cluster_1690,,,,,321.2201746,17.70284846,Yes,no,iglu#8--118.892,NA,Cluster_2523,1_layer_gnps,simil:0.8817; mzdiff:NA; homol mz:NA; homol RT:NA,NA,118.89169090000001,1
Cluster_1691,,,,,322.0922612,6.38763683,Yes,no,iglu#1+CO2,C15H17NO7,Cluster_1277,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol mz:NA; homol RT:NA,NA,-43.99005820000002,2
Cluster_1704,,,,,324.1084879,8.976162723,Yes,no,iglu#1+-46.006,NA,Cluster_1277,1_layer_gnps,simil:0.803; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-46.006284900000026,2
Cluster_1710,,,,,324.108068,6.529019047,Yes,no,iglu#1+-46.004,NA,Cluster_1278,1_layer_gnps,simil:0.8113; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-46.00439849999998,1
Cluster_1723,,,,,325.106186,7.699616667,Yes,no,angl#2--52.952,NA,Cluster_2143,1_layer_gnps,simil:0.8024; mzdiff:NA; homol mz:NA; homol RT:NA,NA,52.9522571,3
Cluster_1725,,,,,325.1061403,7.643483951,Yes,no,iglu#8--112.99,NA,Cluster_2523,1_layer_gnps,simil:0.9778; mzdiff:NA; homol mz:NA; homol RT:NA,NA,115.00572520000003,2
Cluster_1726,,,,,325.105577,4.936382227,Yes,no,iglu#2--32.964,NA,Cluster_2005,1_layer_gnps,simil:0.9879; mzdiff:NA; homol mz:NA; homol RT:NA,NA,32.964012000000025,2
Cluster_1744,,,,,327.0841216,4.311457199,Yes,no,iglu#8--113.028,NA,Cluster_2523,1_layer_gnps,simil:0.8595; mzdiff:NA; homol mz:NA; homol RT:NA,NA,113.02774390000002,1
