"","Row","m.z","RT","Annotation","formula","adduct","evidence","SIRIUS_molecularFormula","SIRIUS_adduct"
"1","Cluster_0001",121.0300504,6.711079986,"","",NA,NA,"C7H6O2|C3H9NO2P|CH7N4OP|C2H8N3OS|H6N6S|C5H4N3O","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"2","Cluster_0002",125.0361588,1.868822577,"","",NA,NA,"C5H6N2O2|CH9N3O2P|H8N5OS|C3H4N5O","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"3","Cluster_0003",127.0763031,14.35341181,"","",NA,NA,"",""
"4","Cluster_0004",127.0763021,14.45563024,"","",NA,NA,"",""
"5","Cluster_0005",127.0762886,8.756389623,"","",NA,NA,"",""
"6","Cluster_0006",128.035985,1.23166718,"","",NA,NA,"C5H7NO3","[M - H]-"
"7","Cluster_0007",129.0562227,5.61268125,"","",NA,NA,"",""
"8","Cluster_0008",129.0562071,6.042455683,"","",NA,NA,"C6H10O3|C4H8N3O2","[M - H]-|[M - H]-"
"9","Cluster_0009",130.0481182,1.237054138,"","",NA,NA,"",""
"10","Cluster_0010",130.0899353,1.627120267,"","",NA,NA,"C7H16P","[M - H]-"
"11","Cluster_0011",130.0879376,1.819150228,"","",NA,NA,"C6H13NO2|C4H11N4O","[M - H]-|[M - H]-"
"12","Cluster_0012",130.0879846,6.755840945,"","",NA,NA,"C6H13NO2|C4H11N4O","[M - H]-|[M - H]-"
"13","Cluster_0013",130.0879761,8.046358665,"","",NA,NA,"C6H13NO2|C4H11N4O","[M - H]-|[M - H]-"
"14","Cluster_0014",131.0357592,2.630796616,"","",NA,NA,"C5H8O4|C6H4N4|C8H6NO|C2H7N5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"15","Cluster_0015",131.0464318,1.104854444,"","",NA,NA,"",""
"16","Cluster_0016",131.0718639,6.948221452,"","",NA,NA,"C6H12O3|C4H10N3O2","[M - H]-|[M - H]-"
"17","Cluster_0017",131.0718656,7.044012179,"","",NA,NA,"C6H12O3|C4H10N3O2","[M - H]-|[M - H]-"
"18","Cluster_0018",133.0515564,1.217405,"","",NA,NA,"C5H10O4|C6H6N4|C8H8NO|C2H9N5P","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"19","Cluster_0019",134.0478994,6.4079257,"","",NA,NA,"C5H5N5|C7H7N2O|CH8N6P|C3H10N3OP","[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"20","Cluster_0020",134.8939789,6.266007047,"","",NA,NA,"",""
"21","Cluster_0021",134.8956326,6.411828171,"","",NA,NA,"CHClNSe|HNOPSe","[M - H]-|[M - H]-"
"22","Cluster_0022",134.8943994,6.633469212,"","",NA,NA,"",""
"23","Cluster_0023",134.8944288,6.965891213,"","",NA,NA,"",""
"24","Cluster_0024",134.8940627,7.358269337,"","",NA,NA,"CHClNSe|HNOPSe","[M - H]-|[M - H]-"
"25","Cluster_0025",134.8955853,20.90090732,"","",NA,NA,"",""
"26","Cluster_0026",134.8955831,21.01176986,"","",NA,NA,"",""
"27","Cluster_0027",134.8943417,21.25066313,"","",NA,NA,"",""
"28","Cluster_0028",134.8944975,21.48695505,"","",NA,NA,"",""
"29","Cluster_0029",134.8957014,20.54342336,"","",NA,NA,"",""
"30","Cluster_0030",134.8941296,14.75262086,"","",NA,NA,"",""
"31","Cluster_0031",134.8955514,15.27146275,"","",NA,NA,"",""
"32","Cluster_0032",134.8957409,18.72881375,"","",NA,NA,"",""
"33","Cluster_0033",134.8956142,18.82451744,"","",NA,NA,"",""
"34","Cluster_0034",134.8976251,18.88254539,"","",NA,NA,"",""
"35","Cluster_0035",134.8944823,18.91115598,"","",NA,NA,"",""
"36","Cluster_0036",134.8955611,19.04402191,"","",NA,NA,"",""
"37","Cluster_0037",134.896127,19.16253716,"","",NA,NA,"",""
"38","Cluster_0038",134.8956359,19.21540204,"","",NA,NA,"",""
"39","Cluster_0039",134.8955229,19.34042903,"","",NA,NA,"CHClNSe|HNOPSe","[M - H]-|[M - H]-"
"40","Cluster_0040",134.8944928,19.35864091,"","",NA,NA,"",""
"41","Cluster_0041",134.8964492,19.39737341,"","",NA,NA,"",""
"42","Cluster_0042",134.8920174,19.41308818,"","",NA,NA,"",""
"43","Cluster_0043",134.8958346,19.4622193,"","",NA,NA,"",""
"44","Cluster_0044",134.8957544,19.48296951,"","",NA,NA,"",""
"45","Cluster_0045",134.8957503,19.50249598,"","",NA,NA,"",""
"46","Cluster_0046",134.8941338,19.56456536,"","",NA,NA,"",""
"47","Cluster_0047",134.8956609,19.6071783,"","",NA,NA,"",""
"48","Cluster_0048",134.8944316,19.70179153,"","",NA,NA,"",""
"49","Cluster_0049",134.895599,19.71930625,"","",NA,NA,"",""
"50","Cluster_0050",134.8956669,19.88639527,"","",NA,NA,"",""
"51","Cluster_0051",134.8955856,20.00625344,"","",NA,NA,"",""
"52","Cluster_0052",134.8956216,20.09243247,"","",NA,NA,"",""
"53","Cluster_0053",134.8956249,20.19089724,"","",NA,NA,"",""
"54","Cluster_0054",134.8944782,12.5566941,"","",NA,NA,"",""
"55","Cluster_0055",134.894434,16.10010524,"","",NA,NA,"",""
"56","Cluster_0056",134.8943981,16.28648355,"","",NA,NA,"",""
"57","Cluster_0057",134.8944139,16.39006498,"","",NA,NA,"",""
"58","Cluster_0058",134.8941496,16.43892809,"","",NA,NA,"",""
"59","Cluster_0059",134.8956069,17.97578523,"","",NA,NA,"",""
"60","Cluster_0060",134.8955863,18.04132065,"","",NA,NA,"",""
"61","Cluster_0061",134.8942671,18.26039167,"","",NA,NA,"",""
"62","Cluster_0062",134.8956709,18.33926666,"","",NA,NA,"",""
