Name,m/z,RT,Annotation,formula,adduct,evidence,,,,,
Cluster_0001,121.0300504,6.711079986,,,,,,,,,
Cluster_0002,125.0361588,1.868822577,,,,,,,,,
Cluster_0003,127.0763031,14.35341181,,,,,,,,,
Cluster_0004,127.0763021,14.45563024,,,,,,,,,
Cluster_0005,127.0762886,8.756389623,,,,,,,,,
Cluster_0006,128.035985,1.23166718,,,,,,,,,
Cluster_0007,129.0562227,5.61268125,,,,,,,,,
Cluster_0008,129.0562071,6.042455683,,,,,,,,,
Cluster_0009,130.0481182,1.237054138,,,,,,,,,
Cluster_0010,130.0899353,1.627120267,,,,,,,,,
Cluster_0011,130.0879376,1.819150228,,,,,,,,,
Cluster_0012,130.0879846,6.755840945,,,,,,,,,
Cluster_0013,130.0879761,8.046358665,,,,,,,,,
Cluster_0014,131.0357592,2.630796616,,,,,,,,,
Cluster_0015,131.0464318,1.104854444,,,,,,,,,
Cluster_0016,131.0718639,6.948221452,,,,,,,,,
Cluster_0017,131.0718656,7.044012179,,,,,,,,,
Cluster_0018,133.0515564,1.217405,,,,,,,,,
Cluster_0019,134.0478994,6.4079257,,,,,,,,,
Cluster_0020,134.8939789,6.266007047,,,,,,,,,
Cluster_0021,134.8956326,6.411828171,,,,,,,,,
Cluster_0022,134.8943994,6.633469212,,,,,,,,,
Cluster_0023,134.8944288,6.965891213,,,,,,,,,
Cluster_0024,134.8940627,7.358269337,,,,,,,,,
Cluster_0025,134.8955853,20.90090732,,,,,,,,,
Cluster_0026,134.8955831,21.01176986,,,,,,,,,
Cluster_0027,134.8943417,21.25066313,,,,,,,,,
Cluster_0028,134.8944975,21.48695505,,,,,,,,,
Cluster_0029,134.8957014,20.54342336,,,,,,,,,
Cluster_0030,134.8941296,14.75262086,,,,,,,,,
Cluster_0031,134.8955514,15.27146275,,,,,,,,,
Cluster_0032,134.8957409,18.72881375,,,,,,,,,
Cluster_0033,134.8956142,18.82451744,,,,,,,,,
Cluster_0034,134.8976251,18.88254539,,,,,,,,,
Cluster_0035,134.8944823,18.91115598,,,,,,,,,
Cluster_0036,134.8955611,19.04402191,,,,,,,,,
Cluster_0037,134.896127,19.16253716,,,,,,,,,
Cluster_0038,134.8956359,19.21540204,,,,,,,,,
Cluster_0039,134.8955229,19.34042903,,,,,,,,,
Cluster_0040,134.8944928,19.35864091,,,,,,,,,
Cluster_0041,134.8964492,19.39737341,,,,,,,,,
Cluster_0042,134.8920174,19.41308818,,,,,,,,,
Cluster_0043,134.8958346,19.4622193,,,,,,,,,
Cluster_0044,134.8957544,19.48296951,,,,,,,,,
Cluster_0045,134.8957503,19.50249598,,,,,,,,,
Cluster_0046,134.8941338,19.56456536,,,,,,,,,
Cluster_0047,134.8956609,19.6071783,,,,,,,,,
Cluster_0048,134.8944316,19.70179153,,,,,,,,,
Cluster_0049,134.895599,19.71930625,,,,,,,,,
