"","Row","m.z","RT","Annotation.ID","formula","adduct","evidence","MSI.Level","Comment","SIRIUS_molecularFormula","SIRIUS_adduct"
"1","Cluster_0002",224.8200368,0.631416132,"","","","",NA,"","",""
"2","Cluster_0003",265.165497,5.496158131,"","","","",NA,"","",""
"3","Cluster_0008",297.2462879,5.495098122,"","","","",NA,"","",""
"4","Cluster_0009",301.2516753,6.633388857,"","","","",NA,"","",""
"5","Cluster_0012",311.2654468,5.869173551,"","","","",NA,"","",""
"6","Cluster_0013",315.9099263,0.731692086,"","","","",NA,"","",""
"7","Cluster_0016",325.2827545,6.313089848,"","","","",NA,"","",""
"8","Cluster_0021",339.3001939,6.95818442,"","","","",NA,"","",""
"9","Cluster_0022",417.2172395,2.863286741,"","","","",NA,"","",""
"10","Cluster_0023",423.1700699,2.946987163,"","","","",NA,"","",""
"11","Cluster_0024",441.2554931,5.077907521,"","","","",NA,"","",""
"12","Cluster_0036",677.3671692,0.739184038,"","","","",NA,"","",""
"13","Cluster_0037",690.6880443,0.726924405,"","","","",NA,"","",""
"14","Cluster_0038",699.3464178,0.716411495,"","","","",NA,"","",""
"15","Cluster_0040",735.365028,0.734698911,"","","","",NA,"","",""
"16","Cluster_0041",777.7026798,0.689692388,"","","","",NA,"","",""
"17","Cluster_0042",827.4504844,0.669394792,"","","","",NA,"","",""
"18","Cluster_0043",923.2821996,0.71724646,"","","","",NA,"","",""
"19","Cluster_0049",263.1164018,4.210265066,"","","","",NA,"","",""
"20","Cluster_0051",280.1346078,4.913402235,"","","","",NA,"","C7H17N7O5|C10H21N3O4S|C12H23O5S|C15H21NO2S|C18H17NO2|C10H23N3O2P2|C12H25O3P2|C14H20N2O2P|C11H24N2O2PS|C5H15N10O4","[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+|[M]+"
"21","Cluster_0052",280.1344797,5.023987045,"","","","",NA,"","",""
"22","Cluster_0053",287.1237727,4.106361135,"","","","",NA,"","",""
"23","Cluster_0054",287.124144,4.205406664,"","","","",NA,"","",""
"24","Cluster_0055",288.1310078,4.318373383,"","","","",NA,"","",""
"25","Cluster_0056",295.1207548,3.924217896,"","","","",NA,"","",""
"26","Cluster_0057",297.1362601,3.91573106,"","","","",NA,"","C9H23N4O5P|C12H28O4P2|C11H25NO6P|C12H29NOPS2|C14H23N2O3P|C15H22O6|C8H22N6O4S|C10H24N3O5S|C16H18N4O2|C11H28N3S3","[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-|[M - H]-"
"27","Cluster_0063",352.5548263,2.60540374,"","","","",NA,"","",""
"28","Cluster_0065",378.0854945,1.353098562,"","","","",NA,"","",""
"29","Cluster_0066",382.5502504,1.279843964,"","","","",NA,"","",""
"30","Cluster_0067",382.5501242,0.96838695,"","","","",NA,"","",""
"31","Cluster_0069",391.5706912,2.446074064,"","","","",NA,"","",""
"32","Cluster_0073",410.2554937,5.0142815,"","","","",NA,"","",""
"33","Cluster_0075",410.5628417,2.366734153,"","","","",NA,"","",""
"34","Cluster_0077",418.071704,2.815020066,"","","","",NA,"","",""
"35","Cluster_0079",422.6953522,4.69627529,"","","","",NA,"","",""
"36","Cluster_0081",424.5784312,3.081400805,"","","","",NA,"","",""
"37","Cluster_0082",425.5679168,2.28399882,"","","","",NA,"","",""
"38","Cluster_0085",436.7181187,4.976497954,"","","","",NA,"","",""
"39","Cluster_0086",441.2649848,4.951807448,"","","","",NA,"","",""
"40","Cluster_0100",536.0843084,1.55662545,"","","","",NA,"","",""
"41","Cluster_0106",566.8827328,6.133385521,"","","","",NA,"","",""
"42","Cluster_0111",612.3504892,4.978755004,"","","","",NA,"","",""
"43","Cluster_0119",643.7371642,0.693209012,"","","","",NA,"","",""
"44","Cluster_0121",660.3404882,4.976209673,"","","","",NA,"","",""
"45","Cluster_0122",669.3074607,0.703783363,"","","","",NA,"","",""
"46","Cluster_0123",690.8844582,0.704654719,"","","","",NA,"","",""
"47","Cluster_0124",692.8549808,0.761022938,"","","","",NA,"","",""
"48","Cluster_0125",696.3504473,0.739006919,"","","","",NA,"","",""
"49","Cluster_0128",709.8555922,0.702654397,"","","","",NA,"","",""
"50","Cluster_0130",721.4717467,0.630198976,"","","","",NA,"","",""
"51","Cluster_0131",726.3555144,0.739971595,"","","","",NA,"","",""
"52","Cluster_0132",729.8820104,0.621743228,"","","","",NA,"","",""
"53","Cluster_0133",729.8754866,0.669394792,"","","","",NA,"","",""
"54","Cluster_0134",733.9119859,0.679863944,"","","","",NA,"","",""
"55","Cluster_0135",734.9168487,0.696113406,"","","","",NA,"","",""
"56","Cluster_0139",748.3354521,0.727031295,"","","","",NA,"","",""
"57","Cluster_0140",748.3504862,0.715278277,"","","","",NA,"","",""
"58","Cluster_0141",759.3266877,0.71023665,"","","","",NA,"","",""
"59","Cluster_0142",760.9371285,0.710016402,"","","","",NA,"","",""
"60","Cluster_0143",761.8254859,0.703237202,"","","","",NA,"","",""
"61","Cluster_0144",765.9004858,0.692042485,"","","","",NA,"","",""
"62","Cluster_0145",770.3160812,0.710183367,"","","","",NA,"","",""
"63","Cluster_0146",770.4829605,3.099299697,"","","","",NA,"","",""
"64","Cluster_0147",771.4554857,0.629998092,"","","","",NA,"","",""
"65","Cluster_0149",783.3515535,0.718318677,"","","","",NA,"","",""
"66","Cluster_0152",788.3280387,0.703434006,"","","","",NA,"","",""
"67","Cluster_0154",794.9193535,0.703081724,"","","","",NA,"","",""
"68","Cluster_0155",806.3240802,0.714906525,"","","","",NA,"","",""
"69","Cluster_0156",820.2866608,0.694624624,"","","","",NA,"","",""
"70","Cluster_0157",831.2937825,0.70075601,"","","","",NA,"","",""
"71","Cluster_0159",933.0602618,0.629331255,"","","","",NA,"","",""
"72","Cluster_0167",71.01496907,0.698474569,"","","","",NA,"","",""
"73","Cluster_0168",73.03045259,0.711043347,"","","","",NA,"","C3H6O2","[M - H]-"
"74","Cluster_0169",73.03045843,0.916915508,"","","","",NA,"","C3H6O2","[M - H]-"
"75","Cluster_0170",78.03547856,0.726986821,"","","","",NA,"","C5H5N|CH8N2P","[M - H]-|[M - H]-"
"76","Cluster_0171",78.96050115,0.71928142,"","","","",NA,"","",""
"77","Cluster_0173",80.96459747,0.73174831,"","","","",NA,"","",""
"78","Cluster_0174",84.01036862,7.023390855,"","","","",NA,"","",""
"79","Cluster_0176",84.95056942,0.73089064,"","","","",NA,"","",""
"80","Cluster_0177",86.94050097,0.760874083,"","","","",NA,"","",""
