Row,m/z,RT,Annotation/ID,formula,adduct,evidence,MSI Level,Comment
Cluster_0002,224.8200368,0.631416132,,,,,,
Cluster_0003,265.165497,5.496158131,,,,,,
Cluster_0008,297.2462879,5.495098122,,,,,,
Cluster_0009,301.2516753,6.633388857,,,,,,
Cluster_0012,311.2654468,5.869173551,,,,,,
Cluster_0013,315.9099263,0.731692086,,,,,,
Cluster_0016,325.2827545,6.313089848,,,,,,
Cluster_0021,339.3001939,6.95818442,,,,,,
Cluster_0022,417.2172395,2.863286741,,,,,,
Cluster_0023,423.1700699,2.946987163,,,,,,
Cluster_0024,441.2554931,5.077907521,,,,,,
Cluster_0036,677.3671692,0.739184038,,,,,,
Cluster_0037,690.6880443,0.726924405,,,,,,
Cluster_0038,699.3464178,0.716411495,,,,,,
Cluster_0040,735.365028,0.734698911,,,,,,
Cluster_0041,777.7026798,0.689692388,,,,,,
Cluster_0042,827.4504844,0.669394792,,,,,,
Cluster_0043,923.2821996,0.71724646,,,,,,
Cluster_0049,263.1164018,4.210265066,,,,,,
Cluster_0051,280.1346078,4.913402235,,,,,,
Cluster_0052,280.1344797,5.023987045,,,,,,
Cluster_0053,287.1237727,4.106361135,,,,,,
Cluster_0054,287.124144,4.205406664,,,,,,
Cluster_0055,288.1310078,4.318373383,,,,,,
Cluster_0056,295.1207548,3.924217896,,,,,,
Cluster_0057,297.1362601,3.91573106,,,,,,
Cluster_0063,352.5548263,2.60540374,,,,,,
Cluster_0065,378.0854945,1.353098562,,,,,,
Cluster_0066,382.5502504,1.279843964,,,,,,
Cluster_0067,382.5501242,0.96838695,,,,,,
Cluster_0069,391.5706912,2.446074064,,,,,,
Cluster_0073,410.2554937,5.0142815,,,,,,
Cluster_0075,410.5628417,2.366734153,,,,,,
Cluster_0077,418.071704,2.815020066,,,,,,
Cluster_0079,422.6953522,4.69627529,,,,,,
Cluster_0081,424.5784312,3.081400805,,,,,,
Cluster_0082,425.5679168,2.28399882,,,,,,
Cluster_0085,436.7181187,4.976497954,,,,,,
Cluster_0086,441.2649848,4.951807448,,,,,,
Cluster_0100,536.0843084,1.55662545,,,,,,
Cluster_0106,566.8827328,6.133385521,,,,,,
Cluster_0111,612.3504892,4.978755004,,,,,,
Cluster_0119,643.7371642,0.693209012,,,,,,
Cluster_0121,660.3404882,4.976209673,,,,,,
Cluster_0122,669.3074607,0.703783363,,,,,,
Cluster_0123,690.8844582,0.704654719,,,,,,
Cluster_0124,692.8549808,0.761022938,,,,,,
Cluster_0125,696.3504473,0.739006919,,,,,,
Cluster_0128,709.8555922,0.702654397,,,,,,
Cluster_0130,721.4717467,0.630198976,,,,,,
Cluster_0131,726.3555144,0.739971595,,,,,,
Cluster_0132,729.8820104,0.621743228,,,,,,
Cluster_0133,729.8754866,0.669394792,,,,,,
Cluster_0134,733.9119859,0.679863944,,,,,,
Cluster_0135,734.9168487,0.696113406,,,,,,
Cluster_0139,748.3354521,0.727031295,,,,,,
Cluster_0140,748.3504862,0.715278277,,,,,,
Cluster_0141,759.3266877,0.71023665,,,,,,
Cluster_0142,760.9371285,0.710016402,,,,,,
Cluster_0143,761.8254859,0.703237202,,,,,,
Cluster_0144,765.9004858,0.692042485,,,,,,
Cluster_0145,770.3160812,0.710183367,,,,,,
Cluster_0146,770.4829605,3.099299697,,,,,,
Cluster_0147,771.4554857,0.629998092,,,,,,
Cluster_0149,783.3515535,0.718318677,,,,,,
Cluster_0152,788.3280387,0.703434006,,,,,,
Cluster_0154,794.9193535,0.703081724,,,,,,
Cluster_0155,806.3240802,0.714906525,,,,,,
Cluster_0156,820.2866608,0.694624624,,,,,,
Cluster_0157,831.2937825,0.70075601,,,,,,
Cluster_0159,933.0602618,0.629331255,,,,,,
Cluster_0167,71.01496907,0.698474569,,,,,,
Cluster_0168,73.03045259,0.711043347,,,,,,
Cluster_0169,73.03045843,0.916915508,,,,,,
Cluster_0170,78.03547856,0.726986821,,,,,,
Cluster_0171,78.96050115,0.71928142,,,,,,
Cluster_0173,80.96459747,0.73174831,,,,,,
Cluster_0174,84.01036862,7.023390855,,,,,,
Cluster_0176,84.95056942,0.73089064,,,,,,
Cluster_0177,86.94050097,0.760874083,,,,,,
Cluster_0180,89.02545641,0.710519674,,,,,,
Cluster_0181,91.02079949,5.505139495,,,,,,
Cluster_0182,91.05558765,0.704806918,,,,,,
Cluster_0183,91.05556656,2.95624648,,,,,,
Cluster_0184,96.97049961,0.584415534,Ortophosphate,H3O4P ,[M-H]-,MS1 + RT,1,RT: 0.656
Cluster_0185,96.97057118,0.716737311,Ortophosphate,H3O4P ,[M-H]-,MS1 + RT,1,RT: 0.656
Cluster_0186,97.02543728,0.717278797,,,,,,
Cluster_0188,97.1505217,0.719598491,,,,,,
Cluster_0189,99.01015671,0.707582999,,,,,,
Cluster_0194,101.0254673,0.713428279,,,,,,
Cluster_0195,102.0556616,0.699571085,,,,,,
Cluster_0196,102.9555577,0.581953608,,,,,,
Cluster_0197,103.0049253,0.731358989,,,,,,
Cluster_0198,103.0405761,0.963000839,,,,,,
Cluster_0199,103.0405746,2.753654793,,,,,,
Cluster_0200,103.0405285,3.361880565,,,,,,
Cluster_0203,110.9756609,0.732679632,,,,,,
Cluster_0204,111.0103477,0.724637708,,,,,,
Cluster_0205,112.9360336,0.740622189,,,,,,
Cluster_0207,114.9903152,0.547841075,,,,,,
Cluster_0208,115.0052639,0.698868884,,,,,,
Cluster_0209,116.0356606,0.69061871,,,,,,
Cluster_0212,117.0204986,0.711124155,,,,,,
Cluster_0213,117.0556361,2.347420248,,,,,,
Cluster_0215,121.0305596,2.763546241,,,,,,
Cluster_0216,122.0255659,0.724497227,nicotinic acid,C6H5NO2,[M-H]-,MS2,2,
Cluster_0217,122.0255682,0.986826683,,,,,,
Cluster_0218,124.9908352,0.732401382,,,,,,
Cluster_0219,125.0255196,0.712163234,,,,,,
Cluster_0221,129.0205038,0.699404992,,,,,,
Cluster_0222,129.0556878,2.694461212,,,,,,
Cluster_0223,129.0557038,2.84282095,,,,,,
Cluster_0225,130.0865755,0.963362854,Norleucine,C6H13NO2 ,[M-H]-,MS1 + RT,1,RT: 1.099
Cluster_0226,130.985254,0.532440866,,,,,,
Cluster_0227,131.0458551,0.689940991,,,,,,
Cluster_0228,131.070709,3.007158468,,,,,,
Cluster_0229,132.9455686,0.703806144,,,,,,
Cluster_0230,133.015496,0.702880596,,,,,,
Cluster_0231,134.0062746,4.023520106,,,,,,
Cluster_0232,137.0357568,0.680219748,,,,,,
Cluster_0233,142.0508107,0.701879851,,,,,,
Cluster_0234,142.9756837,0.718244302,,,,,,
Cluster_0235,144.9250495,7.210853262,,,,,,
Cluster_0236,144.9250282,7.713638338,,,,,,
Cluster_0237,145.0154661,0.713740383,,,,,,
Cluster_0238,146.0456832,0.69908623,,,,,,
