from	to	group_mass	formula_mass	mass_mass	HSIDs	mzincrement	RTincrement	gnps_cosine	gnps_mass	interaction
Cluster_0012	Cluster_0008	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0016	Cluster_0008	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0016	Cluster_0012	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0021	Cluster_0012	Ethylation (+C2H4)	C2H4	28.03130013						MassDifference
Cluster_0021	Cluster_0016	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0057	Cluster_0056	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0081	Cluster_0075	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0082	Cluster_0075	Amination (+NH)	NH	15.01089904						MassDifference
Cluster_0085	Cluster_0079	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0121	Cluster_0036	Amination (+NH3)	NH3	17.02654911						MassDifference
Cluster_0131	Cluster_0125	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0135	Cluster_0123	C2H4O	C2H4O	44.02621475						MassDifference
Cluster_0142	Cluster_0135	C2H2	C2H2	26.01565006						MassDifference
Cluster_0144	Cluster_0134	O2	O2	31.98982924						MassDifference
Cluster_0152	Cluster_0145	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0155	Cluster_0152	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0168	Cluster_0167	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0169	Cluster_0167	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0180	Cluster_0167	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0180	Cluster_0168	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0180	Cluster_0169	Hydroxylation (+O)	O	15.99491462						MassDifference
Cluster_0184	Cluster_0171	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0185	Cluster_0171	Condensation (+H2O)	H2O	18.01056469						MassDifference
Cluster_0189	Cluster_0167	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0194	Cluster_0167	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0194	Cluster_0168	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0194	Cluster_0169	Formylation (+CO)	CO	27.99491462						MassDifference
Cluster_0194	Cluster_0180	C	C	12						MassDifference
Cluster_0194	Cluster_0189	Hydrogenation (+H2)	H2	2.015650064						MassDifference
Cluster_0197	Cluster_0167	O2	O2	31.98982924						MassDifference
Cluster_0198	Cluster_0168	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0198	Cluster_0169	Deamination (+CH2O)	CH2O	30.01056468						MassDifference
Cluster_0198	Cluster_0180	Methylation (+CH2)	CH2	14.01565006						MassDifference
Cluster_0198	Cluster_0194	Hydrogenation (+H2)	H2	2.015650064						MassDifference
