Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_0086,441.2649848,4.951807448,,,,,No,no,GPNAE(14:0)+NH3,C19H43N2O7P,Cluster_1359,1_layer_mass,simil:NA; mzdiff:Amination (+NH3); homol HSID:NA; homol RT:NA,NA,-17.018206299999974,1
Cluster_0965,368.1848225,3.927558229,,,,,Yes,yes,GPNAE(11:0)--14.015,NA,Cluster_1071,1_layer_gnps,simil:0.9736; mzdiff:NA; homol HSID:NA; homol RT:NA,NA,14.015435400000001,18
Cluster_1038,378.2029731,2.760336412,,,,,No,yes,GPNAE(12:0) O-34.0144253,NA,Cluster_1277,1_layer_homol,simil:NA; mzdiff:NA; homol HSID:260; homol RT:99.7333,NA,34.0075597,1
Cluster_1042,378.2035127,2.592046352,,,,,Yes,yes,GPNAE(12:0) O-34.0144253,NA,Cluster_1277,1_layer_homol,simil:NA; mzdiff:NA; homol HSID:262; homol RT:102.0392,NA,34.007020100000034,1
Cluster_1071,382.2002579,4.194599268,GPNAE(11:0),C16H34NO7P,[M-H]-,,Yes,yes,GPNAE(12:0)--14.016,NA,Cluster_1165,1_layer_gnps,simil:0.9722; mzdiff:NA; homol HSID:NA; homol RT:NA,NA,14.015491999999995,17
Cluster_1155,394.1977755,2.531105812,,,,,Yes,yes,GPNAE(11:0)+C,C17H34NO7P,Cluster_1071,1_layer_mass,simil:NA; mzdiff:C; homol HSID:NA; homol RT:NA,NA,-11.99751759999998,1
Cluster_1156,394.1980063,2.626175819,,,,,Yes,yes,GPNAE(11:0)+C,C17H34NO7P,Cluster_1071,1_layer_mass,simil:NA; mzdiff:C; homol HSID:NA; homol RT:NA,NA,-11.997748399999978,1
Cluster_1165,396.2157499,4.468272995,GPNAE(12:0),C17H36NO7P,[M-H]-,MS2,Yes,yes,GPNAE(11:0)+-14.016,C17H36NO7P,Cluster_1071,1_layer_gnps,simil:0.9722; mzdiff:NA; homol HSID:NA; homol RT:NA,NA,-14.015491999999995,17
Cluster_1166,396.2156455,4.628467879,LPE(12:0),C17H36NO7P,[M-H]-,MS2,Yes,yes,GPNAE(11:0)+14.0154354,C17H36NO7P,Cluster_1071,1_layer_homol,simil:NA; mzdiff:NA; homol HSID:1240; homol RT:20.2734,NA,-14.015387599999997,1
Cluster_1167,396.2157274,4.738223628,LPE(12:0),C17H36NO7P,[M-H]-,MS2,Yes,yes,GPNAE(11:0)+14.0154354,C17H36NO7P,Cluster_1071,1_layer_homol,simil:NA; mzdiff:NA; homol HSID:1245; homol RT:23.4198,NA,-14.015469499999995,1
Cluster_1182,398.20075,6.308014913,,,,,No,no,GPNAE(11:0)+O,C16H34NO8P,Cluster_1071,1_layer_mass,simil:NA; mzdiff:Hydroxylation (+O); homol HSID:NA; homol RT:NA,NA,-16.00049210000003,1
